Latitude,Longitude,Magnitude
32.3182314,-86.902298,3
64.2008413,-149.4936733,11
34.0489281,-111.0937311,8
35.20105,-91.8318334,5
36.778261,-119.4179324,3
39.5500507,-105.7820674,4
41.6032207,-73.087749,3
38.9108325,-75.5276699,3
38.9071923,-77.0368707,2
27.6648274,-81.5157535,7
32.1656221,-82.9000751,7
19.8967662,-155.5827818,2
44.0682019,-114.7420408,6
40.6331249,-89.3985283,3
40.2671941,-86.1349019,7
41.8780025,-93.097702,4
39.011902,-98.4842465,5
37.8393332,-84.2700179,4
30.9842977,-91.9623327,4
45.253783,-69.4454689,6
39.0457549,-76.6412712,4
42.4072107,-71.3824374,1
44.3148443,-85.6023643,3
46.729553,-94.6858998,3
32.3546679,-89.3985283,4
37.9642529,-91.8318334,6
46.8796822,-110.3625658,8
41.4925374,-99.9018131,5
38.8026097,-116.419389,8
43.1938516,-71.5723953,3
40.0583238,-74.4056612,4
34.5199402,-105.8700901,4
40.7127837,-74.0059413,2
35.7595731,-79.0192997,4
47.5514926,-101.0020119,8
40.4172871,-82.907123,4
35.0077519,-97.092877,7
43.8041334,-120.5542012,4
41.2033216,-77.1945247,4
41.5800945,-71.4774291,3
33.836081,-81.1637245,4
43.9695148,-99.9018131,7
35.5174913,-86.5804473,4
31.9685988,-99.9018131,9
39.3209801,-111.0937311,7
44.5588028,-72.5778415,1
37.4315734,-78.6568942,5
38.9071923,-77.0368707,3
38.5976262,-80.4549026,3
43.7844397,-88.7878678,4
43.0759678,-107.2902839,8